hour_time,wd_CLE,ws_CLE,wd_BKL,ws_BKL
2024-01-11 07,220,4.629996,220,3.601108
2024-01-11 08,190,3.086664,190,4.629996
2024-01-11 09,170,3.086664,180,3.601108
2024-01-11 10,160,3.601108,160,5.14444
2024-01-11 11,180,5.6588840000000005,150,6.173328
2024-01-11 12,180,4.629996,160,6.173328
2024-01-11 13,180,5.14444,170,5.6588840000000005
2024-01-11 14,200,5.14444,180,6.687772
2024-01-11 15,210,4.629996,190,6.687772
2024-01-11 16,230,8.745548,220,7.71666
2024-01-11 17,240,8.231104,240,8.231104
2024-01-11 18,240,10.803324,230,8.745548
2024-01-11 19,240,8.231104,240,10.28888
2024-01-11 20,250,6.687772,240,10.28888
2024-01-11 21,260,7.71666,240,7.71666
2024-01-11 22,250,6.173328,250,10.28888
2024-01-11 23,240,5.14444,230,7.71666
2024-01-12 00,240,4.115552,240,6.173328
2024-01-12 01,220,4.115552,220,4.629996
2024-01-12 02,240,3.086664,220,5.14444
2024-01-12 03,230,3.086664,220,4.115552
2024-01-12 04,210,3.086664,220,4.629996
2024-01-12 05,180,2.057776,200,1.543332
2024-01-12 06,170,2.057776,160,3.601108
2024-01-12 07,140,3.086664,130,4.115552
2024-01-12 08,130,2.57222,140,3.601108
2024-01-12 09,130,3.086664,120,3.086664
2024-01-12 10,120,3.086664,130,2.57222
2024-01-12 11,120,6.173328,120,5.14444
2024-01-12 12,100,5.6588840000000005,110,4.629996
2024-01-12 13,130,4.629996,130,5.14444
2024-01-12 14,110,6.687772,120,5.6588840000000005
2024-01-12 15,120,8.745548,110,5.14444
2024-01-12 16,130,7.71666,120,7.71666
2024-01-12 17,140,7.71666,130,7.71666
2024-01-12 18,130,6.687772,130,7.202216
2024-01-12 19,120,7.202216,130,6.687772
2024-01-12 20,140,9.259992,130,9.774436
2024-01-12 21,130,7.202216,120,6.687772
2024-01-12 22,130,11.832212,130,10.803324
2024-01-12 23,150,12.8611,140,12.8611
2024-01-13 00,160,11.832212,140,12.346656
2024-01-13 01,160,10.803324,150,12.346656
2024-01-13 02,180,9.259992,150,8.745548
2024-01-13 03,180,8.231104,170,9.774436
2024-01-13 04,190,5.6588840000000005,190,7.202216
2024-01-13 05,200,6.173328,180,7.202216
2024-01-13 06,210,7.71666,180,5.6588840000000005
2024-01-13 07,250,9.259992,200,7.202216
2024-01-13 08,250,10.28888,230,12.346656
2024-01-13 09,220,10.28888,230,11.317768000000001
2024-01-13 10,240,11.317768000000001,220,12.8611
2024-01-13 11,230,10.28888,220,14.918876000000001
2024-01-13 12,230,11.317768000000001,220,10.803324
2024-01-13 13,220,13.889988,220,11.317768000000001
2024-01-13 14,220,12.346656,210,12.8611
2024-01-13 15,230,11.832212,210,11.832212
2024-01-13 16,230,13.375544,220,12.8611
2024-01-13 17,230,11.317768000000001,220,14.404432
2024-01-13 18,220,12.346656,220,10.28888
2024-01-13 19,230,12.346656,230,14.404432
2024-01-13 20,230,11.317768000000001,230,12.346656
2024-01-13 21,240,10.28888,220,11.832212
2024-01-13 22,240,11.317768000000001,220,10.803324
2024-01-13 23,230,7.71666,220,10.28888
2024-01-14 00,230,9.774436,220,12.346656
2024-01-14 01,240,7.71666,230,11.832212
2024-01-14 02,230,11.832212,210,12.8611
2024-01-14 03,240,8.231104,220,11.317768000000001
2024-01-14 04,230,8.231104,210,10.28888
2024-01-14 05,230,8.231104,220,7.71666
2024-01-14 06,230,9.774436,210,7.71666
2024-01-14 07,230,6.687772,220,8.745548
2024-01-14 08,250,6.687772,220,7.71666
2024-01-14 09,250,9.259992,230,11.317768000000001
2024-01-14 10,250,12.346656,240,14.918876000000001
2024-01-14 11,250,9.774436,240,11.832212
2024-01-14 12,250,13.375544,230,13.375544
2024-01-14 13,240,10.28888,220,11.832212
2024-01-14 14,230,11.832212,230,11.832212
2024-01-14 15,240,8.745548,220,11.832212
2024-01-14 16,230,8.745548,230,10.803324
2024-01-14 17,220,8.745548,240,10.803324
2024-01-14 18,240,10.803324,210,8.231104
2024-01-14 19,230,6.687772,220,10.28888
2024-01-14 20,230,9.259992,230,8.231104
2024-01-14 21,230,8.231104,210,6.687772
2024-01-14 22,230,5.6588840000000005,220,6.173328
2024-01-14 23,230,9.259992,220,7.71666
2024-01-15 00,240,8.745548,220,6.173328
2024-01-15 01,260,6.173328,230,7.202216
2024-01-15 02,250,4.115552,210,4.629996
2024-01-15 03,230,4.115552,200,5.6588840000000005
2024-01-15 04,240,4.629996,210,5.6588840000000005
2024-01-15 05,230,5.14444,210,5.6588840000000005
2024-01-15 06,230,3.601108,210,5.6588840000000005
2024-01-15 07,230,3.601108,210,4.115552
2024-01-15 08,230,2.057776,210,5.14444
2024-01-15 09,220,2.57222,210,6.173328
2024-01-15 10,230,3.601108,220,4.629996
2024-01-15 11,240,4.115552,210,5.14444
2024-01-15 12,230,3.086664,220,4.629996
2024-01-15 13,230,3.601108,220,3.601108
2024-01-15 14,230,5.14444,200,3.086664
2024-01-15 15,220,3.601108,210,4.629996
2024-01-15 16,220,4.629996,200,4.629996
2024-01-15 17,220,4.629996,210,3.086664
2024-01-15 18,250,6.173328,230,5.14444
2024-01-15 19,250,4.629996,220,4.115552
2024-01-15 20,230,3.601108,230,3.086664
2024-01-15 21,220,3.601108,210,3.086664
2024-01-15 22,230,3.086664,210,4.115552
2024-01-15 23,230,3.601108,220,3.601108
2024-01-16 00,230,3.086664,220,5.6588840000000005
2024-01-16 01,230,3.086664,220,3.086664
2024-01-16 02,240,3.086664,240,3.086664
2024-01-16 03,230,3.086664,210,4.115552
2024-01-16 04,250,2.57222,220,4.115552
2024-01-16 05,270,2.57222,210,4.115552
2024-01-16 06,250,2.57222,220,3.601108
2024-01-16 07,220,2.057776,220,4.629996
2024-01-16 08,230,3.086664,180,4.115552
